wedding_id,first_track_day_id,signup_date,wedding_Date,signup_referrer,uuid_count,dress_user_flag,first_dress_view,last_dress_view,dress_views,checklist_user_flag,first_task_date,last_task_date,total_tasks,forums_user_flag,threads_created,comments_created,last_forums_date,catalog_user,total_searches,categories_searched,recent_search,recent_search_category,storefront_visitor,total_SFVs,SFV_category_count,recent_SFV,recent_SFV_category,leads_user,total_leads,lead_category_count,recent_leads,recent_lead_category,vm_user,saved_vendors,booked_vendors,reviews_user,review_count,wedding_website_user,registry_user,registry_count
1,20141231,12/30/14,7/25/15,http://www.weddingwire.com/wedding/dispatch/UserAccountInformation?dispatch=add,106,0,0,0,0,1,20150101,20150217,26,0,0,0,NULL,1,133,8,20150406,11,1,25,6,20150406,11,0,0,0,0,0,1,4,0,0,0,1,0,0
2,20141230,12/30/14,9/27/15,http://mktg.weddingwire.com/planningtools/signup/r2/b.html?utm_expid=7629474-7.cwVxG8nARiu1gufO5iGDGQ.1&gclid=CjwKEAiAt4mlBRDXwt_m9ICU4DcSJAAS_X0WiH3TtgTBppkj0JcJSH46He1r-GB-xwhegvx_AsO13BoC7gHw_wcB&utm_referrer=http%3A%2F%2Fwww.google.com%2Faclk%3Fsa%3Dl,1,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,1,2,1,20150111,11,0,0,0,0,0,0,0,0,0,0,1,0,0
3,20150124,12/30/14,8/8/15,http://mktg.weddingwire.com/checklist/?utm_source=facebook&utm_medium=paid-social-media&utm_campaign=checklist,1,0,0,0,0,1,20150124,20150124,2,0,0,0,NULL,1,2,1,20150124,8,1,1,1,20150124,8,0,0,0,0,0,0,0,0,0,0,0,0,0
4,20141230,12/30/14,3/5/16,http://www.weddingwire.com/wedding-planning.html?gclid=CjwKEAiAt4mlBRDXwt_m9ICU4DcSJAAS_X0WPr6Hz0uUeZIAS5jwdGQCjtxBO51zlxwMIdDJ_JjLXhoCuaXw_wcB,20,0,0,0,0,1,20150102,20150429,19,0,0,0,NULL,1,43,2,20150124,11,1,26,4,20150201,11,1,8,2,20150124,3,1,1,0,0,0,1,0,0
5,20140925,12/30/14,9/12/15,http://www.weddingwire.com/wedding/UserSignUp,4,0,0,0,0,0,0,0,0,0,0,0,NULL,1,7,1,20141008,1,1,6,2,20141009,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,20141228,12/30/14,8/22/15,http://www.weddingwire.com/wedding-websites.html,2,0,0,0,0,0,0,0,0,0,0,0,NULL,1,14,1,20150422,16,1,7,1,20150422,16,0,0,0,0,0,0,0,0,0,0,1,0,0
7,20141215,12/30/14,9/19/15,http://budget.weddingwire.com/planning/breakdown.html?gclid=CjwKEAiAt4mlBRDXwt_m9ICU4DcSJAAS_X0WeLPh0fKn9XO3vRIeJN_y2vH1oIXCbfYio_p7JfmghhoC8G3w_wcB,4,0,0,0,0,0,0,0,0,0,0,0,NULL,1,50,6,20150204,10,1,24,5,20150204,17,0,0,0,0,0,1,2,2,1,2,1,1,2
8,20141018,12/30/14,8/8/15,http://budget.weddingwire.com/planning/tool/?gclid=CK2rwYqg78ICFck-Mgodb2oAJg,1,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,20141230,12/30/14,9/17/15,http://mktg.weddingwire.com/planningtools/signup/r2/c.html?utm_expid=7629474-7.cwVxG8nARiu1gufO5iGDGQ.2&utm_source=pinterest&utm_medium=paid-social-media&utm_campaign=planning-tools&utm_content=bridegroom-couple-general&pcode=pinterest&pp=0&utm_referrer=h,2,0,0,0,0,1,20150112,20150112,2,0,0,0,NULL,1,51,6,20150124,12,1,14,3,20150123,8,0,0,0,0,0,0,0,0,0,0,1,0,0
10,20141230,12/30/14,7/23/16,http://www.weddingwire.com/shared/WeddingMain,2,0,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
